iter	Passed	Remaining
0	133	133675
1	135	67668
2	138	46146
3	140	34969
4	142	28271
5	143	23822
6	145	20643
7	147	18251
8	149	16419
9	151	15014
10	153	13785
11	154	12760
12	156	11889
13	158	11146
14	159	10503
15	163	10032
16	164	9529
17	166	9078
18	168	8675
19	169	8316
20	170	7943
21	171	7606
22	171	7297
23	172	7013
24	173	6780
25	174	6543
26	175	6320
27	176	6114
28	176	5921
29	177	5741
30	178	5573
31	179	5417
32	179	5270
33	180	5131
34	181	5000
35	182	4875
36	182	4757
37	183	4645
38	184	4538
39	185	4440
40	186	4357
41	186	4264
42	187	4175
43	188	4091
44	189	4025
45	190	3947
46	191	3873
47	191	3802
48	192	3733
49	193	3668
50	193	3605
51	194	3544
52	195	3485
53	195	3429
54	196	3374
55	197	3336
56	198	3285
57	199	3235
58	199	3187
59	200	3140
60	201	3095
61	201	3052
62	202	3009
63	203	2968
64	203	2932
65	204	2896
66	205	2859
67	205	2823
68	206	2787
69	207	2753
70	207	2720
71	208	2687
72	209	2666
73	210	2635
74	211	2605
75	211	2576
76	212	2547
77	213	2519
78	213	2491
79	214	2465
80	214	2438
81	215	2413
82	215	2385
83	216	2361
84	217	2337
85	217	2315
86	218	2293
87	219	2271
88	219	2249
89	220	2228
90	221	2216
91	222	2196
92	223	2176
93	223	2157
94	224	2138
95	225	2120
96	225	2101
97	226	2083
98	226	2065
99	227	2048
100	228	2031
101	228	2015
102	229	1998
103	230	1982
104	230	1966
105	231	1951
106	232	1936
107	232	1924
108	234	1913
109	234	1899
110	235	1885
111	236	1871
112	236	1858
113	237	1844
114	237	1831
115	238	1818
116	239	1804
117	239	1792
118	240	1779
119	241	1767
120	241	1755
121	242	1743
122	242	1731
123	243	1720
124	244	1708
125	244	1699
126	245	1690
127	246	1679
128	247	1669
129	247	1658
130	248	1648
131	249	1638
132	249	1628
133	250	1618
134	251	1608
135	251	1598
136	252	1589
137	252	1579
138	253	1570
139	254	1561
140	254	1552
141	255	1541
142	255	1533
143	256	1524
144	257	1519
145	258	1511
146	259	1503
147	259	1495
148	260	1486
149	261	1479
150	261	1471
151	262	1463
152	262	1455
153	263	1447
154	264	1440
155	264	1432
156	265	1425
157	266	1418
158	266	1410
159	267	1403
160	267	1395
161	268	1388
162	269	1385
163	270	1378
164	271	1371
165	271	1365
166	272	1358
167	272	1351
168	273	1345
169	274	1338
170	274	1332
171	275	1326
172	276	1320
173	276	1314
174	277	1308
175	278	1302
176	278	1296
177	279	1290
178	280	1284
179	281	1281
180	282	1276
181	282	1271
182	283	1266
183	284	1261
184	285	1256
185	286	1252
186	286	1247
187	287	1241
188	288	1236
189	288	1231
190	289	1226
191	290	1221
192	290	1215
193	291	1210
194	292	1205
195	293	1204
196	294	1199
197	294	1194
198	295	1189
199	296	1184
200	296	1179
201	297	1174
202	297	1169
203	298	1165
204	299	1160
205	299	1155
206	300	1151
207	301	1146
208	301	1142
209	302	1137
210	303	1133
211	303	1128
212	304	1124
213	305	1122
214	306	1118
215	306	1113
216	307	1109
217	308	1105
218	308	1100
219	309	1096
220	309	1092
221	310	1088
222	311	1084
223	311	1080
224	312	1076
225	313	1072
226	313	1068
227	314	1064
228	315	1060
229	315	1056
230	316	1052
231	317	1051
232	318	1048
233	319	1045
234	320	1041
235	321	1039
236	322	1036
237	322	1034
238	323	1030
239	324	1027
240	325	1024
241	325	1020
242	326	1016
243	327	1013
244	327	1009
245	328	1006
246	329	1005
247	330	1001
248	331	998
249	331	995
250	332	991
251	332	988
252	333	985
253	334	981
254	334	978
255	335	974
256	336	971
257	336	968
258	337	965
259	337	961
260	338	958
261	339	955
262	339	952
263	340	950
264	341	947
265	342	944
266	342	941
267	343	937
268	344	934
269	344	931
270	345	928
271	345	925
272	346	923
273	347	920
274	347	917
275	348	914
276	349	911
277	349	908
278	350	905
279	351	902
280	351	899
281	353	899
282	353	896
283	354	893
284	355	890
285	355	888
286	356	885
287	357	882
288	357	879
289	358	877
290	358	874
291	359	871
292	360	869
293	360	866
294	361	864
295	362	861
296	362	858
297	363	856
298	364	854
299	365	852
300	365	849
301	366	846
302	367	844
303	367	841
304	368	839
305	368	836
306	369	834
307	370	831
308	370	829
309	371	826
310	372	824
311	372	822
312	373	819
313	374	817
314	374	815
315	375	812
316	377	812
317	377	809
318	378	807
319	378	805
320	379	802
321	380	800
322	380	798
323	381	795
324	381	793
325	382	791
326	383	788
327	383	786
328	384	784
329	385	781
330	385	779
331	386	777
332	386	775
333	388	774
334	389	772
335	389	770
336	390	768
337	391	766
338	391	763
339	392	761
340	393	759
341	393	757
342	394	755
343	394	753
344	395	750
345	396	748
346	396	746
347	397	744
348	397	742
349	398	740
350	399	738
351	400	737
352	401	735
353	402	733
354	402	731
355	403	729
356	403	727
357	404	725
358	405	723
359	405	721
360	406	719
361	407	717
362	407	715
363	408	713
364	409	711
365	409	709
366	410	707
367	410	705
368	412	705
369	413	703
370	413	701
371	414	699
372	415	697
373	415	695
374	416	693
375	416	691
376	417	690
377	418	688
378	418	686
379	419	684
380	420	682
381	420	680
382	421	678
383	421	676
384	422	675
385	423	673
386	424	672
387	425	670
388	425	668
389	426	667
390	427	665
391	427	663
392	428	661
393	429	659
394	429	658
395	430	656
396	430	654
397	431	652
398	432	651
399	432	649
400	433	647
401	434	645
402	434	644
403	436	643
404	436	641
405	437	639
406	438	638
407	438	636
408	439	634
409	439	632
410	440	631
411	441	629
412	441	627
413	442	626
414	442	624
415	443	622
416	444	621
417	444	619
418	445	617
419	446	616
420	447	614
421	448	614
422	449	613
423	450	611
424	450	609
425	451	608
426	451	606
427	452	604
428	453	603
429	453	601
430	454	599
431	455	598
432	455	596
433	456	594
434	456	593
435	457	591
436	458	590
437	458	588
438	459	587
439	460	586
440	461	584
441	461	583
442	462	581
443	463	580
444	463	578
445	464	576
446	465	575
447	465	573
448	466	572
449	466	570
450	467	569
451	468	567
452	468	566
453	469	564
454	470	563
455	470	561
456	471	560
457	472	559
458	473	557
459	473	556
460	474	554
461	475	553
462	475	551
463	476	550
464	477	548
465	477	547
466	478	545
467	478	544
468	479	542
469	480	541
470	480	540
471	481	538
472	482	537
473	482	535
474	484	535
475	484	533
476	485	532
477	485	530
478	486	529
479	487	527
480	487	526
481	488	524
482	489	523
483	489	522
484	490	520
485	491	519
486	491	517
487	492	516
488	492	515
489	493	513
490	494	512
491	494	510
492	496	510
493	496	508
494	497	507
495	498	506
496	498	504
497	499	503
498	499	501
499	500	500
500	501	499
501	501	497
502	502	496
503	503	495
504	503	493
505	504	492
506	505	491
507	505	489
508	506	488
509	507	487
510	508	486
511	509	485
512	509	483
513	510	482
514	510	481
515	511	479
516	512	478
517	512	477
518	513	475
519	514	474
520	514	473
521	515	471
522	515	470
523	516	469
524	517	467
525	517	466
526	518	465
527	519	464
528	520	463
529	521	462
530	521	460
531	522	459
532	523	458
533	523	456
534	524	455
535	524	454
536	525	453
537	526	451
538	526	450
539	527	449
540	527	447
541	528	446
542	529	445
543	529	444
544	530	442
545	531	441
546	532	440
547	533	439
548	533	438
549	534	437
550	534	435
551	535	434
552	536	433
553	536	432
554	537	430
555	538	429
556	538	428
557	539	427
558	539	425
559	540	424
560	541	423
561	541	422
562	542	421
563	544	420
564	544	419
565	545	418
566	545	416
567	546	415
568	547	414
569	547	413
570	548	412
571	549	410
572	549	409
573	550	408
574	551	407
575	551	406
576	552	404
577	553	403
578	553	402
579	554	401
580	554	400
581	556	399
582	556	398
583	557	397
584	557	395
585	558	394
586	559	393
587	559	392
588	560	391
589	561	389
590	561	388
591	562	387
592	563	386
593	564	385
594	564	384
595	565	383
596	565	382
597	566	380
598	568	380
599	568	379
600	569	377
601	569	376
602	570	375
603	571	374
604	571	373
605	572	372
606	573	371
607	573	369
608	574	368
609	574	367
610	575	366
611	576	365
612	576	364
613	577	363
614	578	361
615	578	360
616	580	360
617	580	358
618	581	357
619	581	356
620	582	355
621	583	354
622	584	353
623	584	352
624	585	351
625	585	350
626	586	348
627	587	347
628	587	346
629	588	345
630	589	344
631	589	343
632	590	342
633	591	341
634	592	340
635	592	339
636	593	338
637	594	337
638	594	336
639	595	334
640	596	333
641	596	332
642	597	331
643	597	330
644	598	329
645	599	328
646	599	327
647	600	326
648	601	325
649	601	323
650	602	322
651	603	322
652	604	321
653	605	320
654	605	319
655	606	317
656	606	316
657	607	315
658	608	314
659	608	313
660	609	312
661	610	311
662	610	310
663	611	309
664	611	308
665	612	307
666	613	306
667	613	305
668	614	304
669	615	303
670	616	302
671	617	301
672	618	300
673	619	299
674	619	298
675	620	297
676	621	296
677	621	295
678	622	294
679	623	293
680	624	292
681	624	291
682	625	290
683	626	289
684	628	288
685	628	287
686	629	286
687	630	285
688	631	284
689	631	283
690	632	282
691	633	281
692	633	280
693	634	279
694	635	278
695	636	277
696	636	276
697	637	275
698	638	274
699	639	274
700	640	273
701	640	272
702	641	270
703	642	269
704	642	268
705	643	267
706	644	266
707	644	265
708	645	264
709	646	263
710	646	262
711	647	262
712	648	261
713	649	260
714	650	259
715	651	258
716	652	257
717	652	256
